UserID,First Name,Last Name,Test 0,Test 1,Test 2,Test 3
uid44,FName44,LName44,17.0,9.0,2.0,3.0
uid45,FName45,LName45,14.0,25.0,3.0,21.0
uid46,FName46,LName46,25.0,25.0,9.0,23.0
uid47,FName47,LName47,7.0,3.0,15.0,14.0
uid48,FName48,LName48,12.0,15.0,6.0,16.0
uid49,FName49,LName49,11.0,10.0,1.0,25.0
uid50,FName50,LName50,15.0,1.0,6.0,6.0
uid51,FName51,LName51,12.0,23.0,7.0,4.0
uid52,FName52,LName52,7.0,18.0,16.0,1.0
uid53,FName53,LName53,7.0,14.0,6.0,8.0
uid54,FName54,LName54,10.0,25.0,11.0,2.0
uid55,FName55,LName55,2.0,5.0,1.0,1.0
uid56,FName56,LName56,22.0,5.0,6.0,15.0
uid57,FName57,LName57,18.0,1.0,8.0,23.0
uid58,FName58,LName58,4.0,25.0,1.0,23.0
uid59,FName59,LName59,4.0,9.0,17.0,11.0
uid60,FName60,LName60,25.0,9.0,25.0,3.0
uid61,FName61,LName61,6.0,5.0,5.0,19.0
uid62,FName62,LName62,25.0,16.0,14.0,3.0
uid63,FName63,LName63,25.0,5.0,25.0,23.0
uid64,FName64,LName64,1.0,15.0,25.0,3.0
uid65,FName65,LName65,3.0,22.0,18.0,17.0
uid66,FName66,LName66,25.0,9.0,25.0,1.0
uid67,FName67,LName67,7.0,14.0,17.0,0.0
uid68,FName68,LName68,6.0,25.0,9.0,5.0
uid69,FName69,LName69,5.0,25.0,2.0,3.0
uid70,FName70,LName70,21.0,11.0,25.0,11.0
uid71,FName71,LName71,4.0,13.0,9.0,25.0
uid72,FName72,LName72,9.0,8.0,25.0,4.0
uid73,FName73,LName73,25.0,25.0,10.0,22.0
uid74,FName74,LName74,2.0,13.0,25.0,25.0
uid75,FName75,LName75,23.0,5.0,13.0,4.0
uid76,FName76,LName76,7.0,25.0,3.0,25.0
uid77,FName77,LName77,13.0,2.0,15.0,25.0
uid78,FName78,LName78,25.0,21.0,7.0,6.0
uid79,FName79,LName79,20.0,14.0,18.0,18.0
uid80,FName80,LName80,11.0,16.0,15.0,2.0
uid81,FName81,LName81,10.0,11.0,2.0,12.0
uid82,FName82,LName82,12.0,7.0,8.0,13.0
uid83,FName83,LName83,25.0,1.0,0.0,2.0
uid84,FName84,LName84,3.0,13.0,24.0,24.0
uid85,FName85,LName85,4.0,14.0,11.0,18.0
uid86,FName86,LName86,5.0,5.0,20.0,7.0
uid87,FName87,LName87,17.0,25.0,25.0,12.0
uid88,FName88,LName88,16.0,21.0,25.0,10.0
uid89,FName89,LName89,6.0,25.0,17.0,8.0
uid90,FName90,LName90,23.0,11.0,9.0,25.0
uid91,FName91,LName91,25.0,22.0,22.0,3.0
uid92,FName92,LName92,15.0,8.0,7.0,25.0
uid93,FName93,LName93,13.0,2.0,18.0,25.0
uid94,FName94,LName94,1.0,8.0,20.0,25.0
uid95,FName95,LName95,6.0,7.0,25.0,6.0
uid96,FName96,LName96,25.0,20.0,8.0,18.0
uid97,FName97,LName97,4.0,25.0,14.0,6.0
uid98,FName98,LName98,6.0,25.0,5.0,25.0
uid99,FName99,LName99,3.0,21.0,25.0,20.0
